player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Yusuf Demir,#11,Right Winger,Barcelona,LaLiga,4,-,-,-,-,-,,,157'
Peru Nolaskoain,#23,Defensive Midfield,Athletic,,,,,,,,,,
Raúl García,#22,Centre-Forward,Athletic,LaLiga,9,2,-,1,-,-,,,475'
Yuri Berchiche,#17,Left-Back,Athletic,,,,,,,,,,
Óscar de Marcos,#18,Right-Back,Athletic,LaLiga,4,-,-,1,-,-,,,269'
Dani García,#14,Central Midfield,Athletic,LaLiga,10,-,-,4,-,-,,,702'
Dani Vivian,#12,Centre-Back,Athletic,LaLiga,9,1,-,-,-,-,,,778'
Nico Williams,#30,Right Winger,Athletic,LaLiga,10,-,-,1,-,-,,,306'
Unai Vencedor,#16,Central Midfield,Athletic,LaLiga,10,-,-,1,-,-,,,711'
Casemiro,#14,Defensive Midfield,Real Madrid,LaLiga,8,-,1,2,-,-,,,636'
Mikel Vesga,#6,Defensive Midfield,Athletic,LaLiga,10,-,-,-,-,-,,,249'
Federico Valverde,#15,Central Midfield,Real Madrid,LaLiga,9,-,1,-,-,-,,,716'
David Alaba,#4,Centre-Back,Real Madrid,LaLiga,8,1,2,-,-,-,,,720'
Eduardo Camavinga,#25,Central Midfield,Real Madrid,LaLiga,5,1,-,3,-,-,,,196'
Ferland Mendy,#23,Left-Back,Real Madrid,Champions League,1,-,-,-,-,-,,,69'
Toni Kroos,#8,Central Midfield,Real Madrid,Champions League,2,-,-,-,-,-,,,102'
Eden Hazard,#7,Left Winger,Real Madrid,LaLiga,7,-,1,1,-,-,,,316'
Vinícius Júnior,#20,Left Winger,Real Madrid,LaLiga,9,5,3,3,-,-,,,650'
Óliver Torres,#21,Central Midfield,Sevilla FC,LaLiga,2,1,1,-,-,-,,,131'
Éder Militão,#3,Centre-Back,Real Madrid,LaLiga,9,-,-,1,-,-,,,810'
Marco Asensio,#11,Right Winger,Real Madrid,LaLiga,7,3,-,-,-,-,,,224'
Jesús Navas,#16,Right-Back,Sevilla FC,LaLiga,9,-,2,1,-,-,,,708'
Karim Rekik,#4,Centre-Back,Sevilla FC,LaLiga,7,-,1,-,-,-,,,353'
Javi Díaz,#31,Goalkeeper,Sevilla FC,Primera Div. R.F.E.F. - Gr. II,3,-,,-,-,-,4,-,270'
Ibrahim Amadou,,Defensive Midfield,Sevilla FC,,,,,,,,,,
Pau Torres,#4,Centre-Back,Villarreal,LaLiga,6,-,-,1,-,-,,,540'
Rubén Blanco,#13,Goalkeeper,Celta de Vigo,LaLiga,-,-,,-,-,-,-,-,-
Paco Alcácer,#9,Centre-Forward,Villarreal,LaLiga,4,-,1,-,-,-,,,179'
Serge Aurier,#25,Right-Back,Villarreal,LaLiga,1,-,-,-,-,-,,,25'
Alfonso Pedraza,#24,Left-Back,Villarreal,LaLiga,5,-,1,1,-,-,,,255'
Gerard Moreno,#7,Centre-Forward,Villarreal,LaLiga,5,1,-,2,-,-,,,381'
Pervis Estupiñán,#12,Left-Back,Villarreal,LaLiga,7,-,-,1,-,-,,,401'
Iñigo Lekue,#15,Right-Back,Athletic,LaLiga,10,-,2,-,-,-,,,848'
Yéremy Pino,#21,Right Winger,Villarreal,LaLiga,8,1,3,1,-,-,,,547'
Boulaye Dia,#16,Centre-Forward,Villarreal,LaLiga,6,-,1,1,-,-,,,346'
Fernando Reges,#25,Defensive Midfield,Sevilla FC,LaLiga,9,1,1,2,-,-,,,740'
Raúl de Tomás,#11,Centre-Forward,Espanyol,LaLiga,11,6,2,2,-,1,,,964'
Loren Morón,#16,Centre-Forward,Espanyol,LaLiga,6,-,-,-,-,-,,,164'
Adrián Embarba,#23,Right Winger,Espanyol,LaLiga,11,-,2,1,-,-,,,918'
Yangel Herrera,#25,Central Midfield,Espanyol,LaLiga,2,-,-,1,-,-,,,55'
Javi Puado,#9,Left Winger,Espanyol,LaLiga,4,-,-,-,-,-,,,208'
Manu Morlanes,#6,Central Midfield,Espanyol,LaLiga,9,1,-,2,-,-,,,385'
Adrià Pedrosa,#3,Left-Back,Espanyol,LaLiga,10,-,1,1,-,-,,,855'
Óscar Melendo,#14,Right Winger,Espanyol,LaLiga,7,-,-,-,-,-,,,354'
