player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Andreaw Gravillon,#6,Centre-Back,Stade Reims,Ligue 1,10,-,-,4,1,-,,,889'
Ghislain Konan,#3,Left-Back,Stade Reims,Ligue 1,9,-,1,-,-,-,,,810'
Arbër Zeneli,#10,Left Winger,Stade Reims,,,,,,,,,,
Azor Matusiwa,#21,Defensive Midfield,Stade Reims,Ligue 1,7,-,-,2,-,-,,,584'
Lenny Lacroix,#29,Centre-Back,FC Metz,National 2 - Grp. B,6,-,-,1,-,-,,,540'
David Oberhauser,#1,Goalkeeper,FC Metz,National 2 - Grp. D,4,-,,-,-,-,2,2,360'
Manuel Cabit,#28,Left-Back,FC Metz,,,,,,,,,,
Lenny Joseph,#24,"Jun 30, 2024",FC Metz,National 2 - Grp. B,3,3,-,1,-,-,,,262'
Xherdan Shaqiri,#29,Right Winger,Olympique Lyon,Ligue 1,6,1,1,-,-,-,,,430'
Ousmane Ba,#40,Goalkeeper,FC Metz,National 2 - Grp. B,6,-,,-,-,-,4,3,540'
Thibault Tamas,#17,Left-Back,Montpellier,National 2 - Grp. D,3,-,-,3,-,-,,,270'
Wahbi Khazri,#10,Centre-Forward,Saint-Étienne,Ligue 1,11,6,-,2,-,-,,,880'
Armand Laurienté,#28,Right Winger,FC Lorient,Ligue 1,10,4,-,1,-,-,,,764'
Terem Moffi,#13,Centre-Forward,FC Lorient,Ligue 1,10,2,2,-,-,-,,,825'
Adrian Grbic,#27,Centre-Forward,FC Lorient,Ligue 1,9,-,-,-,-,-,,,182'
Laurent Abergel,#6,Defensive Midfield,FC Lorient,Ligue 1,10,-,1,5,-,-,,,900'
Julien Laporte,#15,Centre-Back,FC Lorient,Ligue 1,11,2,-,3,-,-,,,990'
Quentin Boisgard,#11,Attacking Midfield,FC Lorient,Ligue 1,5,-,-,2,-,-,,,144'
Stéphane Diarra,#7,Right Winger,FC Lorient,Ligue 1,7,-,-,1,-,-,,,240'
Thomas Monconduit,#23,Defensive Midfield,FC Lorient,Ligue 1,11,2,1,2,-,-,,,637'
Vincent Le Goff,#25,Left-Back,FC Lorient,Ligue 1,11,1,-,1,-,-,,,990'
Javairô Dilrosun,#21,Left Winger,G. Bordeaux,Ligue 1,7,-,1,2,-,-,,,427'
Yacine Adli,#19,Attacking Midfield,G. Bordeaux,Ligue 1,11,-,2,-,-,-,,,655'
Otávio,#5,Defensive Midfield,G. Bordeaux,Ligue 1,11,-,-,3,-,-,,,868'
Rémi Oudin,#28,Right Winger,G. Bordeaux,Ligue 1,9,1,1,1,-,-,,,467'
Paul Nardi,#30,Goalkeeper,FC Lorient,Ligue 1,11,-,,1,-,-,14,3,990'
Samuel Kalu,#10,Right Winger,G. Bordeaux,Ligue 1,8,1,-,1,-,-,,,269'
Fransérgio,#13,Central Midfield,G. Bordeaux,Ligue 1,8,-,-,1,-,-,,,376'
Ui-jo Hwang,#18,Centre-Forward,G. Bordeaux,Ligue 1,9,4,1,-,-,-,,,762'
Josh Maja,#9,Centre-Forward,G. Bordeaux,,,,,,,,,,
Etienne Green,#40,Goalkeeper,Saint-Étienne,Ligue 1,9,-,,-,-,1,15,-,704'
