id,name,shirtNumber,positionId,link
284847,Anton Terekhov,30,4,/anton-terekhov/profil/spieler/284847
503639,Vladislav Galkin,90,3,/vladislav-galkin/profil/spieler/503639
638365,Ivan Budachev,16,1,/ivan-budachev/profil/spieler/638365
673114,Yaroslav Gladyshev,91,4,/yaroslav-gladyshev/profil/spieler/673114
687617,Aleksandr Kutitskiy,50,2,/aleksandr-kutitskiy/profil/spieler/687617
617520,Stanislav Agkatsev,58,1,/stanislav-agkatsev/profil/spieler/617520
601851,Daniil Kornyushin,86,2,/daniil-kornyushin/profil/spieler/601851
746180,Nikita Krivtsov,88,3,/nikita-krivtsov/profil/spieler/746180
38681,Evgeniy Gorodov,1,1,/evgeniy-gorodov/profil/spieler/38681
419672,Mikhail Ignatov,22,3,/mikhail-ignatov/profil/spieler/419672
520073,Ruslan Litvinov,68,3,/ruslan-litvinov/profil/spieler/520073
15680,Artem Rebrov,32,1,/artem-rebrov/profil/spieler/15680
48987,Andrey Eshchenko,38,2,/andrey-eshchenko/profil/spieler/48987
225961,Marko Dugandzic,9,4,/marko-dugandzic/profil/spieler/225961
334477,Denis Adamov,1,1,/denis-adamov/profil/spieler/334477
379084,Pavel Shakuro,90,2,/pavel-shakuro/profil/spieler/379084
686530,Ilya Sadygov,7,4,/ilya-sadygov/profil/spieler/686530
344565,Vitali Lisakovich,88,4,/vitali-lisakovich/profil/spieler/344565
55369,Guilherme,1,1,/guilherme/profil/spieler/55369
431708,Maksim Petrov,73,3,/maksim-petrov/profil/spieler/431708
515051,Aleksandr Silyanov,45,2,/aleksandr-silyanov/profil/spieler/515051
720936,Kirill Zinovich,90,3,/kirill-zinovich/profil/spieler/720936
449351,Andrey Savin,60,1,/andrey-savin/profil/spieler/449351
718756,Daniil Khudyakov,53,1,/daniil-khudyakov/profil/spieler/718756
622461,Sergey Babkin,75,3,/sergey-babkin/profil/spieler/622461
54310,Boris Rotenberg,28,2,/boris-rotenberg/profil/spieler/54310
250907,Jimmy Tabidze,55,2,/jimmy-tabidze/profil/spieler/250907
62514,Aleksandr Belenov,31,1,/aleksandr-belenov/profil/spieler/62514
159692,Moritz Bauer,32,2,/moritz-bauer/profil/spieler/159692
492556,Oston Urunov,17,3,/oston-urunov/profil/spieler/492556
567023,Gamid Agalarov,9,4,/gamid-agalarov/profil/spieler/567023
152962,Vladislav Kamilov,29,3,/vladislav-kamilov/profil/spieler/152962
375663,Artem Golubev,22,3,/artem-golubev/profil/spieler/375663
131324,Filip Mrzljak,24,3,/filip-mrzljak/profil/spieler/131324
106536,Aleksey Nikitin,4,2,/aleksey-nikitin/profil/spieler/106536
187460,Vyacheslav Krotov,57,4,/vyacheslav-krotov/profil/spieler/187460
315557,Timur Zhamaletdinov,75,4,/timur-zhamaletdinov/profil/spieler/315557
427572,Zuriko Davitashvili,22,4,/zuriko-davitashvili/profil/spieler/427572
98533,Maksim Belyaev,60,2,/maksim-belyaev/profil/spieler/98533
621436,Daniil Khlusevich,82,3,/daniil-khlusevich/profil/spieler/621436
456182,Danil Stepanov,25,2,/danil-stepanov/profil/spieler/456182
46635,Igor Smolnikov,6,2,/igor-smolnikov/profil/spieler/46635
94304,Goran Causic,20,3,/goran-causic/profil/spieler/94304
198816,Georgi Kostadinov,70,3,/georgi-kostadinov/profil/spieler/198816
132091,Sergey Tkachev,11,3,/sergey-tkachev/profil/spieler/132091
58568,Ruslan Kambolov,2,3,/ruslan-kambolov/profil/spieler/58568
231873,Ivan Novoseltsev,99,2,/ivan-novoseltsev/profil/spieler/231873
212415,Evans Kangwa,10,4,/evans-kangwa/profil/spieler/212415
240226,Bernard Berisha,7,4,/bernard-berisha/profil/spieler/240226
375667,Daniil Utkin,47,3,/daniil-utkin/profil/spieler/375667
273945,Miroslav Bogosavac,8,2,/miroslav-bogosavac/profil/spieler/273945
105478,Andrey Semenov,15,2,/andrey-semenov/profil/spieler/105478
211727,Artem Timofeev,94,3,/artem-timofeev/profil/spieler/211727
193464,Evgeniy Kharin,59,3,/evgeniy-kharin/profil/spieler/193464
221992,Anton Shvets,23,3,/anton-shvets/profil/spieler/221992
288240,Igor Konovalov,11,3,/igor-konovalov/profil/spieler/288240
120710,Zoran Nizic,20,2,/zoran-nizic/profil/spieler/120710
131444,Artem Polyarus,14,3,/artem-polyarus/profil/spieler/131444
164254,Gabriel Iancu,9,4,/gabriel-iancu/profil/spieler/164254
375668,Leon Musaev,38,3,/leon-musaev/profil/spieler/375668
568318,German Onugkha,10,4,/german-onugkha/profil/spieler/568318
278190,Ivan Konovalov,75,1,/ivan-konovalov/profil/spieler/278190
288559,Aleksey Gorodovoy,93,1,/aleksey-gorodovoy/profil/spieler/288559
296513,Nikita Medvedev,1,1,/nikita-medvedev/profil/spieler/296513
604073,Konstantin Nizhegorodov,97,2,/konstantin-nizhegorodov/profil/spieler/604073
264796,Rafal Augustyniak,6,3,/rafal-augustyniak/profil/spieler/264796
