player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Leo Goglichidze,#3,Left-Back,Ural,Premier Liga,3,-,-,-,-,-,,,117'
Dmitri Kabutov,#7,Right Winger,KS Samara,Premier Liga,6,-,-,-,-,-,,,69'
Artem Maksimenko,#55,Right Winger,Ural,Premier Liga,6,1,-,-,-,-,,,143'
Kirill Kolesnichenko,#24,Left Winger,Ural,Premier Liga,8,-,-,1,-,-,,,525'
Vladimir Rykov,#4,Centre-Back,Ural,Premier Liga,4,-,-,1,-,-,,,360'
Denys Kulakov,#15,Right-Back,Ural,Premier Liga,10,-,-,-,-,-,,,889'
Mikhail Ageev,#9,Centre-Forward,Ural,Premier Liga,7,-,-,-,-,-,,,241'
Denis Tkachuk,#31,Left Midfield,Nizhny Novgorod,Premier Liga,10,-,1,3,-,-,,,594'
Aleksandr Soldatenkov,#4,Centre-Back,KS Samara,Premier Liga,8,-,1,2,-,-,,,720'
Maksim Kanunnikov,#99,Centre-Forward,KS Samara,,,,,,,,,,
Sergey Bozhin,#47,Centre-Back,KS Samara,Premier Liga,3,-,-,1,-,-,,,182'
Danil Prutsev,#25,Central Midfield,KS Samara,Premier Liga,10,-,-,2,-,-,,,523'
Maksim Vityugov,#8,Defensive Midfield,KS Samara,Premier Liga,6,-,-,-,-,-,,,184'
Sergey Pinyaev,#9,Left Winger,KS Samara,Premier Liga,9,-,1,1,-,-,,,86'
Artem Mamin,#29,Centre-Back,Ural,1.Division,7,-,1,1,1,-,,,585'
Yuri Gorshkov,#5,Left-Back,KS Samara,Premier Liga,10,-,-,2,-,-,,,882'
Dmitri Tsypchenko,#19,Centre-Forward,KS Samara,Premier Liga,6,-,-,-,-,-,,,18'
Igor Gorbunov,#17,Left Midfield,Nizhny Novgorod,Premier Liga,10,2,-,1,-,-,,,326'
Denis Yakuba,#6,Defensive Midfield,KS Samara,Premier Liga,6,-,-,2,-,-,,,253'
Timur Suleymanov,#93,Centre-Forward,Nizhny Novgorod,Premier Liga,9,1,1,1,-,-,,,455'
Ilya Berkovskiy,#88,Attacking Midfield,Nizhny Novgorod,Premier Liga,6,-,-,-,-,-,,,162'
Konstantin Nizhegorodov,#97,Centre-Back,Rubin Kazan,Premier Liga,3,-,-,1,-,-,,,164'
Artem Galadzhan,#9,Centre-Forward,Nizhny Novgorod,Premier Liga,2,-,-,-,-,-,,,94'
Richlord Ennin,#7,Centre-Forward,Nizhny Novgorod,Premier Liga,6,-,2,-,-,-,,,459'
Albert Sharipov,#37,Central Midfield,Nizhny Novgorod,Premier Liga,6,-,-,-,-,-,,,341'
Ibrokhimkhalil Yuldoshev,#6,Left-Back,Nizhny Novgorod,Premier Liga,4,-,1,1,-,-,,,305'
Kirill Kosarev,#11,Centre-Forward,Nizhny Novgorod,Premier Liga,3,-,-,-,-,-,,,33'
Aleksey Kozlov,#34,Right-Back,Nizhny Novgorod,Premier Liga,10,3,2,1,-,-,,,900'
Oleg Dzantiev,#27,Centre-Back,Ufa,,,,,,,,,,
Kings Kangwa,#44,Central Midfield,Arsenal Tula,Premier Liga,3,-,-,1,-,-,,,94'
Aleksandr Sukhov,#33,Right-Back,Ufa,Premier Liga,3,-,-,-,-,-,,,154'
Alexandru Tudorie,#30,Centre-Forward,Arsenal Tula,Premier Liga,5,-,-,-,-,-,,,100'
Axel Björnström,#16,Left-Back,Arsenal Tula,Premier Liga,4,-,-,2,-,-,,,215'
Artem Sokol,#3,Centre-Back,Arsenal Tula,Premier Liga,5,-,-,-,1,-,,,259'
Mikhail Levashov,#36,Goalkeeper,Arsenal Tula,Premier Liga,1,-,,-,-,-,1,-,90'
Aleksandr Denisov,#71,Centre-Back,Arsenal Tula,,,,,,,,,,
Artem Sukhanov,#76,Right-Back,Arsenal-2 Tula,Premier Liga,3,-,1,1,-,-,,,195'
Aleksandr Dovbnya,#90,Centre-Back,Arsenal Tula,Premier Liga,2,-,-,-,-,-,,,23'
Lechi Sadulaev,#17,Central Midfield,Akhmat Grozny,Premier Liga,4,-,-,-,-,-,,,95'
Erving Botaka,#15,Centre-Back,Ufa,Premier Liga,3,-,-,-,-,-,,,136'
Anton Kochenkov,#1,Goalkeeper,Arsenal Tula,Premier Liga,7,-,,1,-,-,12,1,630'
Aleksandr Melikhov,#42,Goalkeeper,Akhmat Grozny,Premier Liga,1,-,,-,-,-,2,-,33'
Amir Aduev,#6,Central Midfield,Akhmat Grozny,U19 M-Liga,6,1,1,2,-,-,,,487'
Islam Alsultanov,#90,Centre-Forward,Akhmat Grozny,Premier Liga,2,-,-,1,-,-,,,25'
Khalid Kadyrov,#10,Right Winger,Akhmat Grozny,U19 M-Liga,2,1,-,-,-,-,,,180'
Abubakar Kadyrov,#95,Centre-Forward,Akhmat Grozny,U19 M-Liga,1,-,-,-,-,-,,,90'
Yuri Zheleznov,#14,Left Midfield,Ural,Premier Liga,5,-,-,-,-,-,,,205'
Yaroslav Godzyur,#31,Goalkeeper,Ural,Premier Liga,3,-,,1,-,-,4,-,270'
Ivan Kuzmichev,#25,Centre-Back,Ural 2,Premier Liga,4,-,-,1,-,-,,,360'
Rizvan Utsiev,#40,Right-Back,Akhmat Grozny,Premier Liga,7,-,-,2,-,-,,,479'
Evgeniy Frolov,#39,Goalkeeper,KS Samara,Premier Liga,-,-,,-,-,-,-,-,-
Bogdan Ovsyannikov,#81,Goalkeeper,KS Samara,Russian Cup,1,-,,-,-,-,-,1,90'
Dmitri Prishchepa,#35,Left-Back,KS Samara,U19 M-Liga,2,-,-,-,-,-,,,180'
Danila Smirnov,#52,Central Midfield,KS Samara,U19 M-Liga,4,2,-,2,-,-,,,303'
Bekim Balaj,#19,Centre-Forward,Nizhny Novgorod,Premier Liga,10,-,-,1,-,-,,,775'
Andrey Sinitsyn,#33,Goalkeeper,Nizhny Novgorod,Russian Cup,1,-,,-,-,-,-,1,44'
Roman Ezhov,#11,Right Winger,KS Samara,Premier Liga,10,1,2,-,-,1,,,782'
Danil Lipovoy,#13,Left Midfield,KS Samara,Premier Liga,2,-,-,-,-,-,,,62'
Vitali Lystsov,#5,Centre-Back,Akhmat Grozny,Premier Liga,8,1,-,2,-,-,,,675'
Dmitri Landakov,#13,Goalkeeper,Ural 2,FNL-2 Group 4,6,-,,1,-,-,10,-,540'
Daniil Penchikov,#23,Right-Back,Nizhny Novgorod,Premier Liga,5,-,1,-,-,-,,,154'
Artem Arkhipov,#68,Centre-Forward,Akhmat Grozny,Premier Liga,7,-,-,-,-,-,,,192'
Nikita Kakkoev,#22,Centre-Back,Nizhny Novgorod,Premier Liga,7,-,-,1,-,-,,,528'
