player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Herbert Bockhorn,#11,Right-Back,VfL Bochum,Bundesliga,7,-,-,-,-,-,,,346'
Cristian Gamboa,#2,Right-Back,VfL Bochum,Bundesliga,2,-,-,-,-,-,,,138'
Erhan Masovic,#4,Centre-Back,VfL Bochum,Bundesliga,3,-,-,1,-,-,,,199'
Tom Bischof,#39,Central Midfield,TSG Hoffenheim,U19-Bundesliga Süd/Südwest,5,3,2,1,-,-,,,431'
Michael Esser,#21,Goalkeeper,VfL Bochum,Bundesliga,-,-,,-,-,-,-,-,-
Sergio Córdova,#9,Centre-Forward,FC Augsburg,Bundesliga,4,-,-,-,-,-,,,116'
Saulo Decarli,#5,Centre-Back,VfL Bochum,Bundesliga,1,-,-,-,-,-,,,8'
Noah Joel Sarenren Bazee,#17,Right Winger,FC Augsburg,Bundesliga,3,-,-,-,-,-,,,27'
Lasse Günther,#29,Left-Back,FC Augsburg,Regionalliga Bayern,4,-,-,1,-,-,,,355'
Frederik Winther,#26,Centre-Back,FC Augsburg,DFB-Pokal,1,1,-,1,-,-,,,90'
Tim Civeja,#41,Central Midfield,FC Augsburg,Regionalliga Bayern,6,1,1,2,-,-,,,392'
Daniel Klein,#25,Goalkeeper,FC Augsburg,Regionalliga Bayern,1,-,,-,-,-,1,-,90'
Sebastian Polter,#40,Centre-Forward,VfL Bochum,Bundesliga,6,1,-,-,-,-,,,435'
Ishak Belfodil,#14,Centre-Forward,Hertha BSC,Bundesliga,4,-,-,-,-,-,,,192'
Oliver Christensen,#32,Goalkeeper,Hertha BSC,Superligaen,6,-,,-,-,-,10,-,540'
Dennis Jastrzembski,#30,Left Winger,Hertha BSC,Bundesliga,4,-,-,1,-,-,,,165'
Christopher Antwi-Adjei,#22,Left Winger,VfL Bochum,Bundesliga,6,-,1,-,-,-,,,283'
Jan Morávek,#14,Central Midfield,FC Augsburg,Bundesliga,2,-,-,-,-,-,,,107'
Jonas Michelbrink,#40,Central Midfield,Hertha BSC,Regionalliga Nordost,10,-,-,1,-,-,,,528'
Nils-Jonathan Körber,#12,Goalkeeper,Hertha BSC,Regionalliga Nordost,4,-,,-,-,-,9,1,360'
Göktan Gürpüz,#10,Central Midfield,B. Dortmund U19,U19-Bundesliga West,2,-,1,-,-,-,,,180'
